NORTH WEST  INDIA MONTHLY, SEASONAL AND ANNUAL RAINFALL SERIES FOR THE PERIOD 1826-2006. THE RAINFALL FIGURES ARE IN MM.
Blank spaces indicate data not available.
YEAR      J      F      M      A      M      J     JU      A      S      O      N      D    ANN     JF    MAM   JJAS    OND
1882   16.1    8.8    0.2    3.2   10.7  140.7  385.7  130.4  128.2    0.8    7.4    0.4  832.6   24.9   14.0  785.0    8.6
1883   32.1    0.3    8.4    0.7   28.8  108.6  215.4   81.8  191.8   22.7    3.0    0.7  694.5   32.5   37.9  597.7   26.5
1884    9.3    3.4    2.9    0.4    4.1  116.7  273.6  238.3  280.3   27.4    0.3    6.7  963.5   12.7    7.4  909.0   34.5
1885   26.5    2.6    4.4    6.3   26.4  140.9  242.0  297.3   24.3   18.3    1.6   47.3  837.9   29.0   37.1  704.5   67.3
1886   12.5    1.2   16.5    0.6   22.4  142.5  296.6  184.2   50.0   56.0    0.8    9.7  793.0   13.7   39.5  673.4   66.4
1887   20.7    0.6    0.7    1.4    2.1   97.6  347.0  280.4  124.1   16.6   13.6    4.8  909.5   21.3    4.2  849.1   34.9
1888   19.9   17.4    4.7    2.2    3.7   53.6  243.2  262.4  121.3    6.7   14.0    0.1  749.2   37.3   10.6  680.5   20.8
1889   15.7   26.3    2.4    5.6   19.4  122.2  248.1  314.8   38.9   15.3    0.1    0.0  808.8   42.0   27.3  724.1   15.4
1890    2.7    0.7    8.4    5.1    4.4  159.5  274.5  185.9   99.5    4.8    6.3   12.6  764.4    3.4   17.9  719.4   23.7
1891   22.4    4.2   23.7    3.6   10.1   22.9  231.6  255.1  242.9   18.9    0.5    0.0  835.9   26.7   37.4  752.5   19.4
1892   12.3    9.3    0.4    0.6   10.4   68.1  266.4  301.2  230.3   13.2    0.5   11.8  924.6   21.6   11.4  866.0   25.6
1893   34.3   28.8   19.0    3.8   31.5  202.2  225.6  180.6  196.7   20.1   30.2    2.1  974.9   63.1   54.3  805.0   52.5
1894   31.8   10.5   10.1    1.5    4.2  209.7  307.9  207.6  165.4   56.2   12.7   33.9 1051.6   42.3   15.8  890.6  102.8
1895   31.0   10.1    8.3    8.9    2.4  153.8  193.9  209.9   47.3    7.7    0.1    3.3  676.8   41.1   19.6  604.9   11.2
1896    2.6    7.5    1.3    0.2    4.2  141.3  241.2  228.6   11.3    0.7   15.0   12.2  666.0   10.0    5.7  622.3   28.0
1897   13.6    2.7    2.7    5.0    4.5   68.6  248.9  264.8  121.1   10.3    0.2    0.7  743.1   16.3   12.1  703.5   11.1
1898    0.9   52.4    0.1    1.4   10.9   96.0  270.6  178.7  115.1    1.2    1.2   13.8  742.1   53.2   12.4  660.3   16.2
1899    0.9    4.4    0.3    5.1   11.5  181.7  132.5   39.0   20.5    1.1    0.0    0.5  397.5    5.3   16.9  373.7    1.6
1900   14.5    2.4    1.3   13.5   10.7   26.9  202.2  331.0  218.1    1.0    1.0   20.9  843.4   16.9   25.4  778.2   22.9
1901   31.5   18.2    9.2    2.8    8.9   26.0  188.9  248.8   37.2    6.3    0.1    3.1  581.0   49.7   20.8  500.9    9.5
1902    4.7    2.1    1.4    4.5    8.8   44.6  243.9  157.6  153.0   15.0    6.3    4.6  646.3    6.7   14.7  599.0   25.9
1903    9.3    0.9    6.3    0.3   14.9   33.7  243.6  212.0  166.5   53.6    0.0    1.3  742.4   10.2   21.5  655.8   54.9
1904    6.3    7.5   32.5    0.4   19.2   57.7  222.0  169.4   88.2    5.3    6.6   15.7  630.6   13.8   52.0  537.2   27.6
1905   17.7   14.6    7.8    3.1    4.1   22.6  219.8   76.7  112.6    0.4    0.0    2.4  481.6   32.2   14.9  431.7    2.8
1906    2.3   37.5   17.8    0.3    2.5  132.2  242.5  174.2  199.9    2.4    0.0    5.9  817.4   39.8   20.5  748.8    8.4
1907   10.3   49.8   12.4   20.7    7.3   38.6  173.2  309.3    8.4    0.1    2.2    0.4  632.8   60.0   40.4  529.6    2.7
1908   18.8    5.7    3.4    5.7    7.4   62.1  329.5  355.9   50.4    1.5    1.2    1.7  843.3   24.6   16.6  797.8    4.3
1909    9.5    7.8    0.4   42.2    5.6  134.8  287.8  177.7  124.1    1.8    0.0   27.8  819.5   17.3   48.2  724.4   29.6
1910    9.0    2.1    0.3    1.7    5.1  147.5  155.8  262.4  162.8   54.3   13.4    0.8  815.4   11.2    7.1  728.5   68.6
1911   39.3    1.2   33.8    0.8    0.7   95.3   64.2  112.7  177.7   12.4   31.0    0.3  569.4   40.5   35.2  449.9   43.7
1912   18.4    9.5    3.4    5.5    4.3   42.8  300.2  227.7  107.1    3.2   23.6    1.4  747.0   27.9   13.2  677.8   28.1
1913    0.4   23.8   13.9    0.7   40.5  156.7  202.5  146.5   51.2    0.9    1.1   12.8  651.1   24.2   55.0  557.0   14.8
1914    2.0    7.4   11.6   13.5   16.7  105.7  300.2  144.0  181.1   13.1    7.2    2.0  804.6    9.4   41.9  731.0   22.3
1915   18.9   37.9   36.4    5.9    7.7   75.0  143.5  146.7   88.0   54.7    0.7    2.5  617.9   56.8   50.0  453.3   57.8
1916    0.4   10.4    0.4    1.7   11.5  110.6  212.8  338.7  161.1   53.2    8.4    0.0  909.2   10.8   13.5  823.2   61.6
1917    6.4   16.3    6.3   18.7   66.3  132.1  245.7  279.5  293.6  114.2    0.0    2.8 1181.9   22.7   91.2  951.0  117.0
1918    3.7    1.0   10.8    7.4    9.3   68.0   71.6  161.4   26.3    0.3    6.0    2.0  367.9    4.7   27.5  327.3    8.3
1919   47.1    5.4    3.8    4.7   13.5   67.3  257.6  359.7   71.9   16.8   13.6   10.7  872.1   52.4   21.9  756.6   41.2
1920   21.7    6.7    7.9    0.8   32.0  121.2  268.2   94.3   34.0    0.4    0.0    0.2  587.4   28.4   40.7  517.6    0.6
1921   22.9    0.9    0.5    1.4    0.2   77.6  202.0  205.6  194.2    9.4    0.0    2.4  717.3   23.8    2.2  679.5   11.8
1922   20.5    4.0    0.3    0.9    4.3   86.5  249.4  158.3  194.3    3.4   11.2   14.7  747.7   24.5    5.5  688.5   29.3
1923    7.9   25.0    6.0    2.3   13.2   11.3  293.1  259.6  110.4   11.7    0.9   17.8  759.3   33.0   21.5  674.4   30.4
1924   20.5   12.3    2.0    0.4    8.4   37.0  254.2  218.3  225.1   37.7    1.4   19.3  836.6   32.8   10.8  734.5   58.5
1925    3.2    0.2    0.2    2.1   18.9  168.7  272.1  136.4   36.5    4.5   23.6    0.3  666.8    3.5   21.2  613.7   28.4
